Time(s),Gyro(deg/s) X,Gyro(deg/s) Y,Gyro(deg/s) Z 
2788,-0.183,0,0.976
2908,-0.366,0.427,-0.366
2908,-0.793,0.366,-7.683
2908,-0.793,0.976,-7.683
3028,-1.341,1.707,-12.317
3028,-1.768,-2.805,-35.488
3028,-1.341,-3.659,-38.841
3151,-1.951,-2.561,-39.39
3151,-1.646,-5.122,-45.549
3151,-0.854,-4.268,-38.537
3275,-1.402,-5.061,-38.841
3275,-0.854,-6.707,-45.976
3275,0.915,-13.841,-74.207
3398,-1.646,-12.439,-92.561
3398,-7.134,-5.305,-104.024
3398,-5.244,-9.451,-113.841
3518,-3.78,-12.195,-124.451
3518,-4.085,-13.537,-136.402
3518,-11.037,-11.768,-162.683
3642,-14.451,-10.732,-185.915
3642,-9.146,-16.098,-198.841
3642,-8.354,-16.402,-213.537
3758,-10.427,-17.683,-226.28
3758,-12.073,-17.317,-233.476
3758,-5.976,-19.146,-242.439
3883,-9.817,-18.354,-243.537
3883,-10.427,-19.878,-243.049
3883,-12.622,-20.61,-246.951
4005,-5.61,-14.39,-257.439
4005,-6.098,-14.39,-268.659
4005,-8.598,-21.707,-285.061
4123,-9.573,-21.768,-295.915
4123,-7.5,-31.22,-292.012
4123,-8.659,-29.329,-270.854
4246,-12.622,-19.878,-273.537
4246,-20.854,-12.5,-286.768
4246,-20.732,-15.793,-303.963
4366,-23.841,-15.61,-332.256
4366,-26.524,-16.463,-346.28
4366,-11.037,-16.646,-359.39
4490,-1.768,-16.22,-370.793
4490,-16.28,-22.744,-381.402
4490,-19.024,-24.39,-396.341
4610,-4.939,-6.402,-407.988
4610,-6.098,-11.463,-414.634
4610,-8.659,-36.585,-422.683
4730,-6.585,-37.439,-431.829
4730,-20.305,-18.049,-454.451
4730,-23.171,-16.89,-480.854
4851,-14.39,-22.927,-496.28
4851,-12.683,-21.22,-507.622
4851,-15.854,-23.232,-513.232
4973,-9.451,-15.366,-521.341
4973,-7.5,-14.634,-540.305
4973,-8.841,-32.5,-543.049
5098,-12.805,-31.585,-534.573
5098,-32.683,-7.195,-549.329
5098,-42.744,-2.134,-572.988
5218,-6.463,-8.415,-589.756
5218,0.671,-10.854,-605.366
5218,-12.683,-13.171,-621.646
5340,-4.512,-10.183,-631.768
5340,-3.293,-18.049,-644.329
5340,-4.268,-24.817,-663.415
5458,-20.976,-11.037,-690.793
5458,-27.073,-6.768,-706.463
5458,-2.378,-1.951,-711.646
5578,0.915,3.415,-727.256
5578,-4.573,-20.671,-740.061
5578,-13.049,-13.415,-736.098
5706,-44.085,14.085,-757.134
5706,-14.207,16.951,-780.915
5706,13.171,19.207,-802.622
5825,4.756,13.72,-817.195
5825,0.427,-6.402,-829.634
5825,-10,8.841,-853.354
5946,-15.305,20.976,-880.854
5946,-0.61,22.073,-892.988
5946,5.183,30.732,-908.11
6066,5.549,16.037,-919.024
6066,-18.293,27.195,-924.085
6066,-23.415,51.037,-950.488
6186,18.841,52.256,-976.098
6186,20.671,42.927,-994.085
6186,9.512,26.951,-1011.402
6313,-7.256,53.171,-1043.232
6313,5.61,55.549,-1063.476
6313,15.976,68.72,-1076.098
6433,22.866,40.976,-1085.793
6433,-39.329,76.707,-1095.732
6433,13.659,119.085,-1112.195
6554,29.39,123.963,-1024.878
