epoch (ms),time (05:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1.52613E+12,2018-05-12T16.54.09.936,282.349,-0.0000205,-0.000041625,-0.000017938
1.52613E+12,2018-05-12T16.54.09.936,282.349,-0.000022,-0.000041625,-0.00001875
1.52613E+12,2018-05-12T16.54.10.104,282.517,-0.00002125,-0.000040875,-0.000017563
1.52613E+12,2018-05-12T16.54.10.104,282.517,-0.000020125,-0.000040875,-0.000017938
1.52613E+12,2018-05-12T16.54.10.104,282.517,-0.000022375,-0.0000405,-0.000019125
1.52613E+12,2018-05-12T16.54.10.187,282.6,-0.0000205,-0.00004125,-0.000018313
1.52613E+12,2018-05-12T16.54.10.187,282.6,-0.00002125,-0.000040875,-0.000018313
1.52613E+12,2018-05-12T16.54.10.187,282.6,-0.000021625,-0.000040125,-0.000019125
1.52613E+12,2018-05-12T16.54.10.364,282.777,-0.000022375,-0.0000405,-0.00001875
1.52613E+12,2018-05-12T16.54.10.364,282.777,-0.000023063,-0.00003975,-0.000019125
1.52613E+12,2018-05-12T16.54.10.364,282.777,-0.000022,-0.00003975,-0.000020313
1.52613E+12,2018-05-12T16.54.10.401,282.814,-0.000022688,-0.000039375,-0.000020688
1.52613E+12,2018-05-12T16.54.10.401,282.814,-0.000023438,-0.000039375,-0.000021875
1.52613E+12,2018-05-12T16.54.10.401,282.814,-0.000022,-0.000039375,-0.000021063
1.52613E+12,2018-05-12T16.54.10.550,282.963,-0.000023063,-0.000039,-0.000022625
1.52613E+12,2018-05-12T16.54.10.550,282.963,-0.000024938,-0.000039,-0.00002225
1.52613E+12,2018-05-12T16.54.10.550,282.963,-0.000022375,-0.000039,-0.000023063
1.52613E+12,2018-05-12T16.54.10.638,283.051,-0.000023813,-0.0000375,-0.000022625
1.52613E+12,2018-05-12T16.54.10.638,283.051,-0.000022375,-0.0000375,-0.000022625
1.52613E+12,2018-05-12T16.54.10.638,283.051,-0.000024563,-0.00003825,-0.000019875
1.52613E+12,2018-05-12T16.54.10.853,283.266,-0.000026063,-0.000036063,-0.000019125
1.52613E+12,2018-05-12T16.54.10.853,283.266,-0.000026438,-0.000036063,-0.000019875
1.52613E+12,2018-05-12T16.54.10.853,283.266,-0.000028313,-0.000034563,-0.000017938
1.52613E+12,2018-05-12T16.54.10.932,283.345,-0.000027938,-0.000033813,-0.000016375
1.52613E+12,2018-05-12T16.54.10.932,283.345,-0.000029438,-0.000034563,-0.000016813
1.52613E+12,2018-05-12T16.54.10.932,283.345,-0.000029063,-0.000034188,-0.000016375
1.52613E+12,2018-05-12T16.54.11.016,283.429,-0.000029438,-0.000033063,-0.000016
1.52613E+12,2018-05-12T16.54.11.016,283.429,-0.0000305,-0.000032688,-0.000016
1.52613E+12,2018-05-12T16.54.11.016,283.429,-0.0000305,-0.000032688,-0.000016
1.52613E+12,2018-05-12T16.54.11.138,283.551,-0.000029813,-0.000032688,-0.000015625
1.52613E+12,2018-05-12T16.54.11.138,283.551,-0.000029813,-0.000032313,-0.000015188
1.52613E+12,2018-05-12T16.54.11.138,283.551,-0.0000305,-0.000033063,-0.000016
1.52613E+12,2018-05-12T16.54.11.262,283.675,-0.00003125,-0.000031938,-0.000014438
1.52613E+12,2018-05-12T16.54.11.262,283.675,-0.000032375,-0.000031563,-0.000012063
1.52613E+12,2018-05-12T16.54.11.262,283.675,-0.000033875,-0.000029375,-0.000011313
1.52613E+12,2018-05-12T16.54.11.358,283.771,-0.000035375,-0.00002825,-0.00000975
1.52613E+12,2018-05-12T16.54.11.358,283.771,-0.000035,-0.0000275,-0.000010125
1.52613E+12,2018-05-12T16.54.11.358,283.771,-0.000034625,-0.00002675,-0.000010938
1.52613E+12,2018-05-12T16.54.11.598,284.011,-0.00003425,-0.000026375,-0.000011688
1.52613E+12,2018-05-12T16.54.11.598,284.011,-0.000033875,-0.000027875,-0.0000125
1.52613E+12,2018-05-12T16.54.11.598,284.011,-0.000036125,-0.000025625,-0.000012063
1.52613E+12,2018-05-12T16.54.11.602,284.015,-0.000035,-0.000024875,-0.0000105
1.52613E+12,2018-05-12T16.54.11.602,284.015,-0.00003575,-0.000024125,-0.000006625
1.52613E+12,2018-05-12T16.54.11.602,284.015,-0.000036125,-0.000024125,-0.000002688
1.52613E+12,2018-05-12T16.54.11.803,284.216,-0.00003575,-0.000023,0.000002688
1.52613E+12,2018-05-12T16.54.11.803,284.216,-0.00003425,-0.00002525,0.000008938
1.52613E+12,2018-05-12T16.54.11.803,284.216,-0.000033125,-0.000023,0.000010125
1.52613E+12,2018-05-12T16.54.11.833,284.246,-0.00003425,-0.000021938,0.000010938
1.52613E+12,2018-05-12T16.54.11.833,284.246,-0.000035375,-0.000020438,0.000008188
1.52613E+12,2018-05-12T16.54.11.833,284.246,-0.000036875,-0.000020438,0.000001125
1.52613E+12,2018-05-12T16.54.11.940,284.353,-0.000038313,-0.000020438,-0.000007
1.52613E+12,2018-05-12T16.54.11.940,284.353,-0.0000365,-0.000019688,-0.000019125
1.52613E+12,2018-05-12T16.54.11.940,284.353,-0.00003125,-0.000015938,-0.000034375
1.52613E+12,2018-05-12T16.54.12.145,284.558,-0.000019375,-0.000012625,-0.000045313
1.52613E+12,2018-05-12T16.54.12.145,284.558,-0.000007125,-0.000010375,-0.0000535
1.52613E+12,2018-05-12T16.54.12.145,284.558,0.00001375,-0.000013,-0.000053938
1.52613E+12,2018-05-12T16.54.12.302,284.715,0.000037188,-0.000014125,-0.000044938
1.52613E+12,2018-05-12T16.54.12.302,284.715,0.00005575,-0.000005938,-0.000023813
1.52613E+12,2018-05-12T16.54.12.302,284.715,0.000056875,0.000013813,-0.0000035
1.52613E+12,2018-05-12T16.54.12.491,284.904,0.00004425,0.000033125,-0.000000375
1.52613E+12,2018-05-12T16.54.12.491,284.904,0.000029375,0.000040563,-0.000010938
1.52613E+12,2018-05-12T16.54.12.491,284.904,0.000016688,0.000040563,-0.000025
1.52613E+12,2018-05-12T16.54.12.669,285.082,0.00001,0.000032375,-0.000037875
1.52613E+12,2018-05-12T16.54.12.669,285.082,0.000007063,0.000022375,-0.000046125
1.52613E+12,2018-05-12T16.54.12.669,285.082,0.000002938,0.000011188,-0.000051563
1.52613E+12,2018-05-12T16.54.12.709,285.122,0.000002563,-0.000001438,-0.000053938
1.52613E+12,2018-05-12T16.54.12.709,285.122,0.000001063,-0.000012625,-0.00005275
1.52613E+12,2018-05-12T16.54.12.709,285.122,0,-0.000022625,-0.000050813
1.52613E+12,2018-05-12T16.54.12.791,285.204,0.000001813,-0.000032313,-0.000043375
1.52613E+12,2018-05-12T16.54.12.791,285.204,0.000007063,-0.0000405,-0.000039063
1.52613E+12,2018-05-12T16.54.12.791,285.204,0.0000245,-0.000036063,-0.000041
1.52613E+12,2018-05-12T16.54.12.841,285.254,0.00002675,0.000009313,-0.00005
1.52613E+12,2018-05-12T16.54.12.841,285.254,-0.000017875,0.000022688,-0.000034375
1.52613E+12,2018-05-12T16.54.12.841,285.254,-0.0000335,-0.000023375,-0.000024188
1.52613E+12,2018-05-12T16.54.12.933,285.346,0.00001075,-0.000043875,-0.000036688
1.52613E+12,2018-05-12T16.54.12.933,285.346,0.000031563,-0.000001813,-0.000048813
1.52613E+12,2018-05-12T16.54.12.933,285.346,-0.000008188,0.000025688,-0.000038688
1.52613E+12,2018-05-12T16.54.13.014,285.427,-0.00003575,-0.000013,-0.000024188
1.52613E+12,2018-05-12T16.54.13.014,285.427,-0.00000075,-0.000045313,-0.000032
1.52613E+12,2018-05-12T16.54.13.014,285.427,0.000032688,-0.00001375,-0.000048813
1.52613E+12,2018-05-12T16.54.13.150,285.563,0.000003688,0.000023063,-0.000043375
1.52613E+12,2018-05-12T16.54.13.150,285.563,-0.000035,-0.000002188,-0.000028875
1.52613E+12,2018-05-12T16.54.13.150,285.563,-0.000011188,-0.000043125,-0.000029313
1.52613E+12,2018-05-12T16.54.13.287,285.7,0.00002975,-0.000024125,-0.000045313
1.52613E+12,2018-05-12T16.54.13.287,285.7,0.000014875,0.000018625,-0.0000465
1.52613E+12,2018-05-12T16.54.13.287,285.7,-0.000028313,0.000008563,-0.000030438
1.52613E+12,2018-05-12T16.54.13.380,285.793,-0.00002125,-0.000036063,-0.000026938
1.52613E+12,2018-05-12T16.54.13.380,285.793,0.00002375,-0.000034563,-0.000040625
1.52613E+12,2018-05-12T16.54.13.380,285.793,0.000024125,0.000010063,-0.000049625
1.52613E+12,2018-05-12T16.54.13.570,285.983,-0.0000205,0.000017125,-0.0000375
1.52613E+12,2018-05-12T16.54.13.570,285.983,-0.000032,-0.00002975,-0.000025
1.52613E+12,2018-05-12T16.54.13.570,285.983,0.000046813,0.000010813,-0.000033188
1.52613E+12,2018-05-12T16.54.13.669,286.082,-0.000029813,0.000013438,-0.000034375
1.52613E+12,2018-05-12T16.54.13.669,286.082,0.000011125,-0.000048688,-0.000023063
1.52613E+12,2018-05-12T16.54.13.669,286.082,0.000040875,0.000012688,-0.00003475
1.52613E+12,2018-05-12T16.54.13.856,286.269,-0.000032375,0.000009688,-0.000034375
1.52613E+12,2018-05-12T16.54.13.856,286.269,0.000013375,-0.000049438,-0.000023813
1.52613E+12,2018-05-12T16.54.13.856,286.269,0.000035688,0.00001525,-0.000037125
1.52613E+12,2018-05-12T16.54.13.942,286.355,-0.0000335,0.000006,-0.000032438
1.52613E+12,2018-05-12T16.54.13.942,286.355,0.000015938,-0.000047188,-0.000025
1.52613E+12,2018-05-12T16.54.13.942,286.355,0.000033063,0.00001675,-0.000037875
1.52613E+12,2018-05-12T16.54.13.980,286.393,-0.000033125,0.000003,-0.000030875
1.52613E+12,2018-05-12T16.54.13.980,286.393,0.000017813,-0.000045313,-0.000024188
1.52613E+12,2018-05-12T16.54.13.980,286.393,0.000011875,0.000024563,-0.000043375
1.52613E+12,2018-05-12T16.54.14.137,286.55,0.000029,-0.000007063,-0.00004725
1.52613E+12,2018-05-12T16.54.14.137,286.55,0.000028625,-0.00001225,-0.000048063
1.52613E+12,2018-05-12T16.54.14.137,286.55,0.0000275,-0.000013375,-0.000047688
1.52613E+12,2018-05-12T16.54.14.240,286.653,0.000025625,-0.000014875,-0.00004725
1.52613E+12,2018-05-12T16.54.14.240,286.653,0.000025625,-0.000015188,-0.000048063
1.52613E+12,2018-05-12T16.54.14.240,286.653,0.000026,-0.000018188,-0.000047625
1.52613E+12,2018-05-12T16.54.14.358,286.771,0.000026,-0.000017813,-0.000046125
1.52613E+12,2018-05-12T16.54.14.358,286.771,0.000024125,-0.000018563,-0.000045313
1.52613E+12,2018-05-12T16.54.14.358,286.771,0.000025625,-0.000018938,-0.000046125
1.52613E+12,2018-05-12T16.54.14.441,286.854,0.000025625,-0.000020063,-0.000045313
1.52613E+12,2018-05-12T16.54.14.441,286.854,0.000025625,-0.000020813,-0.000045313
1.52613E+12,2018-05-12T16.54.14.441,286.854,0.000026375,-0.000020813,-0.000044938
1.52613E+12,2018-05-12T16.54.14.594,287.007,0.000027125,-0.000020813,-0.000045313
1.52613E+12,2018-05-12T16.54.14.594,287.007,0.00002675,-0.000020063,-0.000044938
1.52613E+12,2018-05-12T16.54.14.594,287.007,0.000027125,-0.000020813,-0.000045313
1.52613E+12,2018-05-12T16.54.14.714,287.127,0.000027125,-0.000020813,-0.000044125
1.52613E+12,2018-05-12T16.54.14.714,287.127,0.000027125,-0.000021563,-0.000045313
1.52613E+12,2018-05-12T16.54.14.714,287.127,0.000027125,-0.000021938,-0.000044563
1.52613E+12,2018-05-12T16.54.14.796,287.209,0.0000275,-0.000022625,-0.000044188
